Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.010399458,-0.020836261,0.129224051,-1.057122796,1.065195574
0.020401458,-0.017196954,0.291800619,-1.103252649,1.1413193
0.030402458,0.017979603,0.423304792,-1.320580791,1.386882778
0.040404458,0.056813886,0.4898157,-1.453490342,1.534855502
0.050406458,-0.002333039,0.507674266,-1.567242075,1.647418079
0.060408458,-0.030096496,0.437775481,-1.659230472,1.716274724
0.070409458,0.012655421,0.314011853,-1.681607181,1.710720993
0.080411458,0.037605783,0.064474616,-1.761649716,1.763230244
0.090413458,0.045801533,0.093939028,-1.788482004,1.791532919
0.100414458,0.035075108,0.060890565,-1.653931725,1.655423835
0.110416458,0.08583391,0.020469055,-1.512149609,1.514722048
0.120418458,0.051844045,0.025529528,-1.281993846,1.283295672
0.130420458,-0.18396773,0.008326435,-0.971100898,0.988408017
0.140421458,-0.440410821,-0.051771832,-0.632251242,0.772258796
0.150423458,-0.460681071,-0.121874393,-0.287760778,0.556674665
0.160425458,-0.229707282,-0.23546679,0.326699141,0.46361878
0.170426458,0.146178637,-0.38873079,0.488055981,0.640841994
0.180428458,0.485298434,-0.339967058,0.144970602,0.610007087
0.190430458,0.551045989,-0.26612111,-0.131835417,0.625981393
0.200432458,0.386999722,-0.209782895,-0.081682679,0.447716102
0.210433458,0.177631687,-0.193441681,0.185483621,0.321522742
0.220435458,0.308683577,-0.710949503,0.172877024,0.794116623
0.230437458,0.218147044,-0.566290264,0.808991522,1.011306125
0.240438458,0.55247037,-0.138966681,0.861024724,1.032423762
0.250440458,0.502122481,-0.340667847,0.5994431,0.852944077
0.260442458,-0.091565643,-0.511064774,0.268480754,0.584511237
0.270444458,-0.29319021,-0.464498426,0.136276377,0.565942169
0.280445458,-0.414843286,-0.704308381,-0.165282075,0.83394449
0.290447458,-0.717228827,-0.970056877,-0.358293402,1.258491835
0.300449458,-0.726949385,-1.071800915,-0.547325113,1.405979156
0.310450458,-0.688166558,-0.98826613,-0.7160588,1.401065081
0.320452458,-0.622167573,-0.643439305,-0.808891534,1.206404634
0.330454458,0.464566985,-0.426068917,-0.822350655,1.0361553
0.340456458,1.231637771,-0.105260699,0.537164406,1.347797096
0.350457458,1.024720158,0.065955935,1.209108887,1.586299432
0.360459458,0.2764891,0.279762079,1.453168745,1.505460875
0.370461458,-0.026301653,0.797014524,0.783820428,1.118167425
0.380463458,0.584079395,1.322983705,-0.121913277,1.451308881
0.390464458,0.859987721,1.362892852,-0.220704909,1.626581219
0.400466458,0.633046756,1.032867376,0.024048429,1.211668906
0.410468458,0.380680929,0.835418597,0.50946673,1.04995169
0.420469458,0.274694298,0.693733619,0.407597124,0.850210977
0.430471458,-0.157754078,0.257769605,-0.508299041,0.591353899
